neighborhood,postal_code,declared_transaction_value,reference_property_value,reference_value_proportional,tax_base_value,transaction_date,transaction_type,built_area_sqm,property_use_description,transferred_share_percentage,source,bucket_start
CID JULIA,4424020.0,650000.0,441031.0,441031.0,650000.0,2024-12-23 00:00:00,1.Compra e venda,187,RESIDÊNCIA,100.0,JAN-2025,100
,3564010.0,230000.0,276260.0,27.626,230000.0,2024-12-23 00:00:00,1.Compra e venda,100,RESIDÊNCIA,0.01,JAN-2025,100
,2310020.0,265000.0,456401.0,35507.9978,265000.0,2024-12-24 00:00:00,1.Compra e venda,139,RESIDÊNCIA,7.78,JAN-2025,100
,5442010.0,1835000.0,1309959.0,1309959.0,1835000.0,2024-12-20 00:00:00,1.Compra e venda,259,RESIDÊNCIA,100.0,JAN-2025,200
PEDREIRA,4467060.0,560000.0,354741.0,354741.0,560000.0,2024-12-20 00:00:00,1.Compra e venda,106,RESIDÊNCIA,100.0,JAN-2025,100
JACANA,2316000.0,336000.0,637787.0,1977.1397,336000.0,2024-12-20 00:00:00,1.Compra e venda,175,RESIDÊNCIA,0.31,JAN-2025,100
JD UBIRAJARA,4458000.0,238310.83,64190526.0,19257.1578,238310.83,2024-12-24 00:00:00,1.Compra e venda,240,RESIDÊNCIA,0.03,JAN-2025,200
,5142120.0,900000.0,864164.0,864164.0,900000.0,2024-12-26 00:00:00,1.Compra e venda,241,RESIDÊNCIA,100.0,JAN-2025,200
,3237040.0,450000.0,291421.0,291421.0,450000.0,2024-12-30 00:00:00,1.Compra e venda,97,RESIDÊNCIA,100.0,JAN-2025,0
,5835003.0,319600.0,1054392.0,105.4392,319600.0,2024-12-26 00:00:00,1.Compra e venda,300,RESIDÊNCIA,0.01,JAN-2025,300
,4776133.0,469300.0,430816.0,43.0816,469300.0,2024-12-23 00:00:00,1.Compra e venda,97,RESIDÊNCIA,0.01,JAN-2025,0
CJ RES MORADA DO HORTO,2636030.0,585000.0,440989.0,440989.0,585000.0,2024-12-26 00:00:00,1.Compra e venda,173,RESIDÊNCIA,100.0,JAN-2025,100
,3066010.0,490980.83,1771456.0,2480.0384,490980.83,2024-12-23 00:00:00,1.Compra e venda,360,RESIDÊNCIA,0.14,JAN-2025,300
VL SYLVIA,3729030.0,238540.22,649527.0,64.9527,238540.22,2024-12-20 00:00:00,1.Compra e venda,119,RESIDÊNCIA,0.01,JAN-2025,100
,4250010.0,770000.0,607915.0,607915.0,770000.0,2024-12-28 00:00:00,1.Compra e venda,134,RESIDÊNCIA,100.0,JAN-2025,100
