exact_age,number_alive,life_expectancy
0,100000,79.8690821993017
1,98878.7394311761,79.7733518811639
2,98808.2002869089,78.8299451030692
3,98753.1379683967,77.8736199520414
4,98709.8543975077,76.9075477354889
5,98675.3296988683,75.9342813432447
6,98647.1484126288,74.9558312320049
7,98623.3833889576,73.9737726626362
8,98602.5148661239,72.9893228654334
9,98583.3519903817,72.0034135192675
10,98564.9124573209,71.0167903845706
11,98546.3517087631,70.0300718951769
12,98526.8756516295,69.0438160806469
13,98505.7044471793,68.0585477670216
14,98482.0446089267,67.0747783836695
15,98455.1353294738,66.0929742787851
16,98424.3200358901,65.1135105320067
17,98389.185407493,64.1365839182998
18,98349.6851732724,63.1621423119576
19,98306.1090749518,62.1899185274955
20,98259.0351400472,61.2194729313719
21,98209.0393323943,60.2503837223755
22,98156.5524617169,59.2823338121526
23,98101.75879605,58.3151660425382
24,98044.5772323456,57.3488850068447
25,97984.8010188937,56.3835660088912
26,97922.1527672332,55.4193189780415
27,97856.4035260308,54.4562190011371
28,97787.4080875106,53.4942886571764
29,97715.0721990077,52.5335189301459
30,97639.331032227,51.5738825765762
31,97560.0686932108,50.6153773751129
32,97477.0787188946,49.6580445737597
33,97390.0289250483,48.7019833392911
34,97298.436839259,47.7473583765131
35,97201.6680535846,46.7943953213308
36,97098.923802471,45.8433812708324
37,96989.2615309902,44.894649402049
38,96871.6025102172,43.9485705806076
39,96744.815620587,43.0055111937811
40,96607.7824902686,42.0658030574853
41,96459.5342921323,41.1296853419332
42,96299.3606930883,40.1972642218178
43,96126.7911985774,39.2685298568693
44,95941.5828796216,38.3433697128281
45,95743.49107437,37.4216670606593
46,95532.0951875544,36.5033682788276
47,95306.6160061728,35.5885461011728
48,95065.7741991589,34.6774402265264
49,94807.886159491,33.7704066813006
50,94530.9255986723,32.8678836755727
51,94232.7251296823,31.9703121904966
52,93911.1458082899,31.0780757743729
53,93564.1527038203,30.1914779816824
54,93189.8948782932,29.3107212537198
55,92786.6651086254,28.4359261038079
56,92352.8603957982,27.5671482050952
57,91886.8222804187,26.7044292909478
58,91386.657065107,25.8478478647237
59,90849.8760279325,24.9976141017495
60,90272.9956897943,24.1541635969624
61,89651.1589540723,23.318233175638
62,88977.7277132829,22.4909338219122
63,88244.7805454973,21.6735870345112
64,87443.8275049921,20.8675292417267
65,86567.5152252936,20.0737072281827
66,85611.9275709934,19.2921860489127
67,84577.5004356765,18.5220243283698
68,83469.5945981943,17.761233660256
69,82295.5946301747,17.007476340149
70,81060.5866523421,16.2589779121942
71,79763.5218060747,15.5152406222674
72,78392.8094155354,14.7777848086707
73,76927.3225261933,14.0497805802489
74,75338.3784289765,13.3355558294715
75,73593.9796720614,12.6397971238412
76,71666.9539741973,11.9662195504581
77,69539.3259883328,11.3170404602224
78,67207.7824837404,10.6923005787964
79,64681.3536188464,10.0904079303167
80,61972.2148884358,9.50965622749682
81,59088.5714035628,8.94934593168555
82,56024.1109862219,8.41151633839559
83,52761.5777401827,7.90072811306433
84,49283.9507772023,7.42294622313486
85,45588.2047642298,6.9841758445796
86,41709.1878851923,6.58721389981589
87,37723.0679855677,6.23043741675281
88,33739.1459002788,5.90708810170032
89,29875.0214684252,5.60645701298454
90,26219.4266722677,5.31841528410922
