exact_age,number_alive,life_expectancy
0,100000,73.3081022668405
1,98675.2020859652,73.2906801959454
2,98597.8554891654,72.347781959102
3,98536.0089486937,71.3928775216496
4,98486.3629836789,70.4286138937788
5,98446.1866384327,69.4571520853565
6,98413.2288667168,68.4802452619831
7,98385.6132552592,67.4993264668242
8,98361.7631119738,66.5155720432119
9,98340.2854674204,65.5299899288687
10,98319.8665441598,64.5434952601987
11,98299.0914005399,63.5570306122858
12,98276.2226019867,62.5717039329758
13,98248.8847120659,61.5889754716227
14,98213.5186846575,60.6109732007521
15,98164.9743521338,59.6406991502636
16,98096.1407806681,58.6821978831301
17,97999.1809966017,57.7397629901635
18,97868.3858533357,56.8162604508658
19,97703.2354214063,55.9114533551539
20,97510.4721093189,55.0209933362991
21,97299.8914125306,54.138990063733
22,97080.559016204,53.2601756888101
23,96857.8609311473,52.3814832417562
24,96633.0490172243,51.5021828953775
25,96405.7061933802,50.6224556545271
26,96174.7335949629,49.7428294095545
27,95939.9840932151,48.8633185859683
28,95702.5751527796,47.9832932491694
29,95464.1923237248,47.1018633800431
30,95226.6621750012,46.2181054837422
31,94990.9625411159,45.3315451251163
32,94756.9697041205,44.4422521312971
33,94523.5640313563,43.5507581004339
34,94288.7656328304,42.6579633330983
35,94050.280104762,41.7648642815759
36,93805.6905088665,40.8724585695616
37,93552.7643310183,39.9816082211978
38,93289.5696846585,39.0929963211603
39,93014.4579728331,38.2071440086681
40,92726.0755629647,37.3244149811799
41,92423.2955038807,36.4450522997579
42,92105.1918339797,35.5691957147345
43,91770.9057688426,34.6969392881992
44,91419.5545553917,33.8283678012087
45,91050.0088002704,32.9636380445437
46,90660.7315214681,32.1030297797075
47,90249.6493477974,31.2469798368025
48,89814.0474670107,30.3961039729834
49,89350.7072517329,29.551134276345
50,88855.9961077713,28.7128782272405
51,88326.121321891,27.8821293229073
52,87757.353082026,27.0595969076941
53,87146.2107193078,26.2458550900411
54,86489.6689568629,25.4412914847034
55,85785.3110116901,24.6460770897557
56,85031.4850694886,23.8601382613062
57,84227.1466501169,23.0832190307813
58,83371.6552693452,22.3149494572494
59,82463.9451861911,21.555074393561
60,81501.6527590401,20.8036722803048
61,80480.2388531839,20.0613560732777
62,79392.1220876089,19.3294562189978
63,78227.5863646552,18.6097611015823
64,76975.941960149,17.9042294844632
65,75628.2265563105,17.2143775500229
66,74180.6121943428,16.5405540572938
67,72635.6961295369,15.8817266621148
68,71003.3574203582,15.235346388798
69,69296.9633534483,14.5981950106555
70,67528.0113418174,13.9675088691404
71,65701.7170458368,13.3418618652976
72,63812.4022970103,12.7220750864137
73,61845.6942747926,12.1107400274812
74,59781.9690033765,11.511552814581
75,57601.7353180918,10.9283416186173
76,55293.725349053,10.3636300037708
77,52857.3420719581,9.81827986414255
78,50304.6002607441,9.29114243524926
79,47655.0385934113,8.77991916686057
80,44926.0717629538,8.28287043498957
81,42127.9009211725,7.79981527772691
82,39257.5832742131,7.33354116871844
83,36305.1539037183,6.88926247772365
84,33265.2904640428,6.47312887845496
85,30148.1356174147,6.09071823354114
86,26995.1607125767,5.74370172484383
87,23875.8515800518,5.42877578905891
88,20875.0650857671,5.13728633790742
89,18071.9094980212,4.85658139145482
90,15514.9880663682,4.57456043732327
