exact_age,number_alive,life_expectancy
0,100000,76.6078836791978
1,98774.4870857461,76.5568320328297
2,98700.9391647892,75.6135064871756
3,98642.4543958431,74.6580410245463
4,98595.7361193126,73.6931798247004
5,98558.0630657376,72.7211573488024
6,98527.2092062423,71.743773451089
7,98501.3422746638,70.7624824125173
8,98478.9523375757,69.7784571210569
9,98458.7512583332,68.792671191256
10,98439.5689150367,67.805978984838
11,98420.213066725,66.8192157405725
12,98399.3103519868,65.833303762565
13,98375.1261916159,64.8493650491617
14,98345.2856092614,63.8688903626052
15,98306.677962137,62.8937770112897
16,98255.4387124795,61.92631475535
17,98187.7641920844,60.9686519694103
18,98101.2837043728,60.0219576787355
19,97996.1793365174,59.0857970832684
20,97875.8377464281,58.1578302646948
21,97744.8934039711,57.2350718106067
22,97607.6869638154,56.3148239026524
23,97466.9926967606,55.3953929806808
24,97323.7446916094,54.4761919220017
25,97178.0361501083,53.557123709804
26,97029.5301522572,52.6383288963824
27,96878.1949330708,51.7197751437758
28,96724.4564042743,50.8011863314798
29,96568.9340948915,49.8821953716674
30,96412.2776414382,48.9624345256415
31,96254.7572589098,48.0417430340428
32,96096.1404710926,47.1202156816468
33,95935.7085902946,46.1981779857244
34,95772.2879099475,45.2761548984621
35,95604.4714028781,44.3547514097424
36,95430.6957504195,43.4346092372444
37,95249.3936845894,42.5163329422382
38,95059.0575826949,41.6004619587833
39,94858.2879602417,40.6874519773421
40,94645.8392359229,39.7776595657066
41,94420.6626833141,38.8713298252049
42,94181.9470158768,37.9685866552016
43,93929.0354183891,37.0694738842076
44,93661.3680285429,36.1739828811257
45,93378.2535528926,35.2821431922631
46,93078.7042551895,34.394080360375
47,92761.2859686291,33.5100619447201
48,92424.0010255236,32.6305262910089
49,92064.4074632503,31.7560246320622
50,91679.696978601,30.8871825741224
51,91266.9213721621,30.0246155840938
52,90823.1877574832,29.1688635973888
53,90345.7856723152,28.3203546177938
54,89832.3264893259,27.4793688291671
55,89280.7934983754,26.6460341487868
56,88689.5946952829,25.8203218332382
57,88057.399720025,25.0021053095364
58,87382.9460054408,24.1912215695916
59,86664.4457041788,23.387636024178
60,85898.9500976148,22.5916010877932
61,85081.720582683,21.803796002487
62,84205.583377901,21.0254564617121
63,83261.635280112,20.2581562581802
64,82240.1852413512,19.5035590307607
65,81132.9839571705,18.7628957879786
66,79936.1236883034,18.0363408007531
67,78651.1550421705,17.3228419727293
68,77285.812692266,16.6200367332034
69,75850.5925940688,15.9250547945254
70,74353.8112098883,15.2355692724079
71,72797.4181247261,14.5506125625725
72,71172.433721173,13.8714112915298
73,69460.6470725576,13.2009360553587
74,67637.456121823,12.543294165934
75,65676.8484362193,11.9028146920239
76,63559.7228619918,11.2826336955629
77,61277.3300767339,10.6842537616137
78,58834.8560758354,10.1070435275856
79,56247.3836131527,9.54898338289311
80,53530.0674340834,9.00833174782361
81,50691.857655798,8.48470865489099
82,47727.2704871619,7.98068013161633
83,44621.5020919735,7.50135422007259
84,41362.3126667472,7.05303371198526
85,37952.7765510859,6.64173385828642
86,34431.8210528697,6.2697799777092
87,30874.2874510401,5.9346110666344
88,27379.9008326976,5.628208618473
89,24049.2273283129,5.3384347033833
90,20951.5858186778,5.05378562281098
